Sites	SB	SOC	Stock	Biomass	Credits
A1	1.42	4.08	116.04	24.750	1.980
A1	1.01	5.48	110.88	20.875	1.670
A1	1.03	4.86	99.68	27.125	2.170
A1	1.20	4.18	100.45	21.000	1.680
A1	1.05	5.40	112.91	38.000	3.040
A1	1.25	4.96	123.92	34.500	2.760
A1	1.28	5.51	141.53	34.875	2.790
A1	1.30	4.95	128.49	25.125	2.010
A1	1.12	4.92	110.28	29.875	2.390
A1	1.32	6.04	159.15	32.000	2.560
A1	1.25	5.07	126.76	33.000	2.640
A1	1.17	4.98	116.59	25.250	2.020
A1	1.10	5.73	125.80	26.250	2.100
A1	1.53	5.06	154.73	30.500	2.440
A2	0.94	2.82	53.00	18.500	1.480
A2	1.06	2.88	61.10	22.250	1.780
A2	1.00	3.14	62.76	17.875	1.430
A2	0.99	3.07	60.87	20.375	1.630
A2	0.93	2.93	54.41	21.625	1.730
A2	1.10	5.14	112.99	31.875	2.550
A2	0.93	4.90	91.07	16.625	1.330
A2	1.03	4.35	89.53	21.125	1.690
A2	0.91	5.07	92.26	19.000	1.520
A2	0.85	4.86	82.67	15.000	1.200
A2	1.07	4.03	86.14	27.250	2.180
A2	1.02	6.04	123.30	23.750	1.900
A2	0.88	4.92	86.61	21.750	1.740
A2	0.93	4.96	92.31	27.750	2.220
A2	0.85	6.33	107.56	25.000	2.000
A3	1.43	5.13	146.76	21.125	2.113
A3	1.32	4.94	130.49	15.125	1.513
A3	1.40	5.57	156.32	23.625	2.363
A3	1.19	5.04	120.21	21.375	2.138
A3	1.25	6.23	155.55	14.500	1.450
A3	1.19	2.92	69.61	19.750	1.975
A3	1.13	3.03	68.82	22.750	2.275
A3	1.08	3.37	72.37	17.250	1.725
A3	1.30	2.99	77.51	16.625	1.663
A3	1.19	3.11	73.80	17.375	1.738
A3	1.28	2.89	74.12	25.625	2.563
A3	1.08	2.94	63.54	18.625	1.863
A3	1.18	2.87	67.91	23.750	2.375
A3	1.27	2.82	71.65	16.250	1.625
A3	1.30	3.36	87.22	16.250	1.625
A4	1.49	3.03	90.47	24.875	2.488
A4	1.12	3.34	74.65	26.625	2.663
A4	1.23	3.90	96.25	24.750	2.475
A4	1.31	2.78	72.84	20.625	2.063
A4	1.26	3.08	77.35	13.875	1.388
A4	1.54	3.20	98.59	14.750	1.475
A4	1.43	3.93	112.45	17.625	1.763
A4	1.35	3.53	95.35	17.625	1.763
A4	1.46	3.31	96.45	7.625	0.763
A4	1.75	2.79	97.22	14.000	1.400
A4	1.24	3.93	97.36	12.500	1.250
A4	1.26	3.34	84.03	22.500	2.250
A4	1.34	3.25	87.08	11.375	1.138
A4	1.20	3.29	78.91	15.500	1.550
A4	1.20	3.40	81.61	12.250	1.225
A5	1.05	2.61	54.81	16.750	1.340
A5	1.00	2.76	55.22	13.875	1.110
A5	0.82	2.79	45.67	15.500	1.240
A5	0.89	2.89	51.37	10.000	0.800
A5	0.83	3.10	51.51	9.125	0.730
A5	0.89	3.32	59.06	12.500	1.000
A5	1.09	2.77	60.47	19.500	1.560
A5	0.95	2.92	55.40	21.375	1.710
A5	0.95	2.95	55.99	18.000	1.440
A5	0.94	2.74	51.49	15.625	1.250
A5	0.77	3.45	53.10	16.000	1.280
A5	0.75	3.65	54.78	12.250	0.980
A5	0.86	3.24	55.75	25.500	2.040
A5	0.81	2.82	45.75	22.000	1.760
